"S.No","ID","Part.Number","Date","Available.Quantity","Issue","Return","Order","Repair.Calibrate","Scrap","Unit.Cost"
311,474,"GN-286",2016-03-15,31,5,0,0,0,0,160
312,474,"GN-286",2016-03-14,36,2,0,0,0,0,160
313,474,"GN-286",2016-03-13,38,0,0,0,0,0,160
314,474,"GN-286",2016-03-12,38,0,0,0,0,0,160
315,474,"GN-286",2016-03-11,38,0,0,0,0,0,160
316,474,"GN-286",2016-03-10,38,0,0,0,0,0,160
317,474,"GN-286",2016-03-09,38,0,0,0,0,0,160
318,474,"GN-286",2016-03-08,38,0,0,0,0,0,160
319,474,"GN-286",2016-03-07,38,0,0,10,0,0,160
320,474,"GN-286",2016-03-06,28,0,0,0,0,0,160
321,474,"GN-286",2016-03-05,28,0,0,0,0,0,160
322,474,"GN-286",2016-03-04,28,0,0,0,0,0,160
323,474,"GN-286",2016-03-03,28,0,0,0,0,0,160
324,474,"GN-286",2016-03-02,28,6,0,0,0,0,160
325,474,"GN-286",2016-03-01,34,0,0,0,0,0,160
326,474,"GN-286",2016-02-29,34,0,0,0,0,0,160
327,474,"GN-286",2016-02-28,34,0,0,0,0,0,160
328,474,"GN-286",2016-02-27,34,2,0,0,0,0,160
329,474,"GN-286",2016-02-26,36,3,0,0,0,0,160
330,474,"GN-286",2016-02-25,39,0,0,30,0,0,160
331,474,"GN-286",2016-02-24,9,0,0,0,0,0,160
332,474,"GN-286",2016-02-23,9,8,0,0,0,0,160
333,474,"GN-286",2016-02-22,17,0,0,0,0,0,160
334,474,"GN-286",2016-02-21,17,0,0,0,0,0,160
335,474,"GN-286",2016-02-20,17,2,0,0,0,0,160
336,474,"GN-286",2016-02-19,19,1,0,0,0,0,160
337,474,"GN-286",2016-02-18,20,0,0,0,0,0,160
338,474,"GN-286",2016-02-17,20,0,0,0,0,0,160
339,474,"GN-286",2016-02-16,20,0,0,20,0,0,160
340,474,"GN-286",2016-02-15,0,0,0,0,0,0,160
341,474,"GN-286",2016-02-14,0,0,0,0,0,0,160
342,474,"GN-286",2016-02-13,0,19,0,0,0,0,160
343,474,"GN-286",2016-02-12,19,10,0,0,0,0,160
344,474,"GN-286",2016-02-11,29,0,0,0,0,0,160
345,474,"GN-286",2016-02-10,29,2,0,0,0,0,160
346,474,"GN-286",2016-02-09,31,0,0,0,0,0,160
347,474,"GN-286",2016-02-08,31,0,0,0,0,0,160
348,474,"GN-286",2016-02-07,31,0,0,0,0,0,160
349,474,"GN-286",2016-02-06,31,5,0,0,0,0,160
350,474,"GN-286",2016-02-05,36,5,0,0,0,0,160
351,474,"GN-286",2016-02-04,41,0,0,0,0,0,160
352,474,"GN-286",2016-02-03,41,2,0,0,0,0,160
353,474,"GN-286",2016-02-02,43,5,0,0,0,0,160
354,474,"GN-286",2016-02-01,48,0,0,0,0,0,160
355,474,"GN-286",2016-01-31,48,0,0,0,0,0,160
356,474,"GN-286",2016-01-30,48,0,0,0,0,0,160
357,474,"GN-286",2016-01-29,48,0,0,0,0,0,160
358,474,"GN-286",2016-01-28,48,0,0,0,0,0,160
359,474,"GN-286",2016-01-27,48,0,0,0,0,0,160
360,474,"GN-286",2016-01-26,48,0,0,0,0,0,160
361,474,"GN-286",2016-01-25,48,0,0,0,0,0,160
362,474,"GN-286",2016-01-24,48,0,0,0,0,0,160
363,474,"GN-286",2016-01-23,48,0,0,0,0,0,160
364,474,"GN-286",2016-01-22,48,0,0,0,0,0,160
365,474,"GN-286",2016-01-21,48,0,0,0,0,0,160
366,474,"GN-286",2016-01-20,48,0,0,0,0,0,160
367,474,"GN-286",2016-01-19,48,0,0,40,0,0,160
368,474,"GN-286",2016-01-18,8,0,0,0,0,0,160
369,474,"GN-286",2016-01-17,8,0,0,0,0,0,160
370,474,"GN-286",2016-01-16,8,0,0,0,0,0,160
371,474,"GN-286",2016-01-15,8,0,0,0,0,0,160
372,474,"GN-286",2016-01-14,8,0,0,0,0,0,160
373,474,"GN-286",2016-01-13,8,0,0,0,0,0,160
374,474,"GN-286",2016-01-12,8,0,0,0,0,0,160
375,474,"GN-286",2016-01-11,8,0,0,0,0,0,160
376,474,"GN-286",2016-01-10,8,0,0,0,0,0,160
377,474,"GN-286",2016-01-09,8,12,0,20,0,0,160
378,474,"GN-286",2016-01-08,0,0,0,0,0,0,160
379,474,"GN-286",2016-01-07,0,23,0,0,0,0,160
380,474,"GN-286",2016-01-06,23,0,0,0,0,0,160
381,474,"GN-286",2016-01-05,23,0,0,0,0,0,160
382,474,"GN-286",2016-01-04,23,0,0,0,0,0,160
383,474,"GN-286",2016-01-03,23,0,0,0,0,0,160
384,474,"GN-286",2016-01-02,23,0,0,0,0,0,160
385,474,"GN-286",2016-01-01,23,0,0,0,0,0,160
386,474,"GN-286",2015-12-31,23,2,0,0,0,0,160
387,474,"GN-286",2015-12-30,25,4,0,0,0,0,160
388,474,"GN-286",2015-12-29,29,0,0,0,0,0,160
389,474,"GN-286",2015-12-28,29,0,0,0,0,0,160
390,474,"GN-286",2015-12-27,29,0,0,0,0,0,160
391,474,"GN-286",2015-12-26,29,0,0,0,0,0,160
392,474,"GN-286",2015-12-25,29,0,0,0,0,0,160
